"Cabernet Sauvignon,Dolcetto,0.825229356024"
"Cabernet Sauvignon,Pinotage,0.799383374571"
"Cabernet Sauvignon,Pinot Noir,0.755090261247"
"Cabernet Sauvignon,Gamay,0.755055382858"
"Cabernet Sauvignon,Cabernet Franc,0.73134407218"
"Bordeaux Red Blends,Dolcetto,0.877435396598"
"Bordeaux Red Blends,Pinotage,0.800774315091"
"Bordeaux Red Blends,Pinot Noir,0.800690609813"
"Bordeaux Red Blends,Gamay,0.794237353684"
"Bordeaux Red Blends,Barbera,0.782825164423"
"Chenin Blanc,Sauvignon Blanc,0.714893372972"
"Chenin Blanc,Semillon,0.675324675325"
"Chenin Blanc,Albarino,0.637892548941"
"Chenin Blanc,Chardonnay,0.632739202486"
"Chenin Blanc,Gruner Veltliner,0.629879259651"
"Pinot Blanc,Sauvignon Blanc,0.685302113376"
"Pinot Blanc,Chardonnay,0.670572846672"
"Pinot Blanc,Muscat,0.634074564326"
"Pinot Blanc,Semillon,0.633696071624"
"Pinot Blanc,Gruner Veltliner,0.617121394821"
"Bordeaux White Blends,Sauvignon Blanc,0.701495766703"
"Bordeaux White Blends,Semillon,0.666565465194"
"Bordeaux White Blends,Chardonnay,0.631124372797"
"Bordeaux White Blends,Albarino,0.629615762072"
"Bordeaux White Blends,Gruner Veltliner,0.613744938001"
"Vintage,Non-Vintage,0.506885215072"
"Vintage,Dolcetto,0.371665088583"
"Vintage,Semillon,0.315685777416"
"Vintage,Sauvignon Blanc,0.302409812471"
"Vintage,Albarino,0.290461806353"
"Zinfandel,Dolcetto,0.822843651758"
"Zinfandel,Gamay,0.746073999685"
"Zinfandel,Pinotage,0.743570424098"
"Zinfandel,Pinot Noir,0.733299787402"
"Zinfandel,Barbera,0.72689829919"
"Rhone Red Blends,Dolcetto,0.760561169887"
"Rhone Red Blends,Petite Sirah,0.721957614846"
"Rhone Red Blends,Bordeaux Red Blends,0.688325631292"
"Rhone Red Blends,Pinotage,0.679873516343"
"Rhone Red Blends,Gamay,0.672906074388"
"Merlot,Pinotage,0.805806588679"
"Merlot,Petite Sirah,0.77713267975"
"Merlot,Bordeaux Red Blends,0.72617893004"
"Merlot,Nebbiolo,0.70533568872"
"Merlot,Carmenere,0.691218544789"
"Syrah/Shiraz,Dolcetto,0.812400281251"
"Syrah/Shiraz,Gamay,0.730536060702"
"Syrah/Shiraz,Barbera,0.714665488862"
"Syrah/Shiraz,Pinot Noir,0.710735649281"
"Syrah/Shiraz,Pinotage,0.710285314818"
"Sauvignon Blanc,Muscat,0.802379569619"
"Sauvignon Blanc,Chardonnay,0.769798230338"
"Sauvignon Blanc,Viognier,0.75575734637"
"Sauvignon Blanc,Rhone White Blends,0.746583837131"
"Sauvignon Blanc,Chenin Blanc,0.714893372972"
"Other Dessert,Port,0.504545454545"
"Other Dessert,Sherry,0.5"
"Other Dessert,Vermouth,0.5"
"Other Dessert,Madeira,0.5"
"Other Dessert,Fruit Wine,0.5"
"Gamay,Petite Sirah,0.83686999023"
"Gamay,Pinotage,0.802746078829"
"Gamay,Bordeaux Red Blends,0.794237353684"
"Gamay,Nebbiolo,0.764660324257"
"Gamay,Cabernet Sauvignon,0.755055382858"
"Sherry,Port,0.504545454545"
"Sherry,Other Dessert,0.5"
"Sherry,Vermouth,0.5"
"Sherry,Madeira,0.5"
"Sherry,Fruit Wine,0.5"
"Gewurztraminer,Sauvignon Blanc,0.665992092148"
"Gewurztraminer,Chardonnay,0.642272126661"
"Gewurztraminer,Muscat,0.636843561291"
"Gewurztraminer,Semillon,0.634027741062"
"Gewurztraminer,Albarino,0.598229315829"
"Vermouth,Port,0.504545454545"
"Vermouth,Other Dessert,0.5"
"Vermouth,Sherry,0.5"
"Vermouth,Madeira,0.5"
"Vermouth,Fruit Wine,0.5"
"Muscat,Sauvignon Blanc,0.802379569619"
"Muscat,Semillon,0.763603000937"
"Muscat,Albarino,0.725991402901"
"Muscat,Gruner Veltliner,0.712661308465"
"Muscat,Pinot Gris/Grigio,0.681830382491"
"Viognier,Sauvignon Blanc,0.75575734637"
"Viognier,Semillon,0.708069750113"
"Viognier,Gruner Veltliner,0.676577739868"
"Viognier,Albarino,0.671145415768"
"Viognier,Chardonnay,0.641548970717"
"Other Red Wine,Petite Sirah,0.735283172878"
"Other Red Wine,Dolcetto,0.725560142122"
"Other Red Wine,Pinotage,0.72049961775"
"Other Red Wine,Bordeaux Red Blends,0.693390474247"
"Other Red Wine,Nebbiolo,0.660453830365"
"Torrontes,Sauvignon Blanc,0.666484059744"
"Torrontes,Semillon,0.652182359029"
"Torrontes,Chardonnay,0.650427891889"
"Torrontes,Muscat,0.648176960243"
"Torrontes,Viognier,0.6275420031"
"Nebbiolo,Dolcetto,0.852922542476"
"Nebbiolo,Pinot Noir,0.768280336173"
"Nebbiolo,Gamay,0.764660324257"
"Nebbiolo,Pinotage,0.76295168709"
"Nebbiolo,Barbera,0.75924093448"
